Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
1,nav2,1768474339989345445,1768474339991942958,1768474339991982532,1768474339993555728,2.5975,0.0396,1.5732,4.2103,0.125000,0.000000
2,nav2,1768474340042242497,1768474340044253407,1768474340044291111,1768474340045707550,2.0109,0.0377,1.4164,3.4651,0.200000,0.000000
3,nav2,1768474340084830543,1768474340086615322,1768474340086648452,1768474340087836026,1.7848,0.0331,1.1876,3.0055,0.200000,0.000000
4,nav2,1768474340148197722,1768474340150078649,1768474340150115334,1768474340151484304,1.8809,0.0367,1.3690,3.2866,0.200000,0.000000
5,nav2,1768474340182569996,1768474340184546926,1768474340184584371,1768474340186056192,1.9769,0.0374,1.4718,3.4862,0.200000,0.000000
6,nav2,1768474340245170199,1768474340247028018,1768474340247066352,1768474340248357651,1.8578,0.0383,1.2913,3.1875,0.200000,0.000000
7,nav2,1768474340287505828,1768474340289343360,1768474340289378804,1768474340291231066,1.8375,0.0354,1.8523,3.7252,0.200000,0.000000
8,nav2,1768474340350746143,1768474340352636077,1768474340352669984,1768474340354519471,1.8899,0.0339,1.8495,3.7733,0.200000,0.000000
9,nav2,1768474340382116492,1768474340386113063,1768474340386144897,1768474340387122992,3.9966,0.0318,0.9781,5.0065,0.200000,0.000000
10,nav2,1768474340445906503,1768474340447764938,1768474340447801327,1768474340450551093,1.8584,0.0364,2.7498,4.6446,0.200000,0.000000
11,nav2,1768474340488927383,1768474340490782090,1768474340490821886,1768474340492298409,1.8547,0.0398,1.4765,3.3710,0.200000,0.000000
12,nav2,1768474340532527049,1768474340534936828,1768474340534973476,1768474340536329840,2.4098,0.0366,1.3564,3.8028,0.200000,0.000000
13,nav2,1768474340585589640,1768474340589561245,1768474340589625541,1768474340590879675,3.9716,0.0643,1.2541,5.2900,0.200000,0.000000
14,nav2,1768474340648745966,1768474340650609253,1768474340650643068,1768474340652170925,1.8633,0.0338,1.5279,3.4250,0.200000,0.000000
15,nav2,1768474340692618303,1768474340694422752,1768474340694457678,1768474340695699630,1.8044,0.0349,1.2420,3.0813,0.200000,0.000000
16,nav2,1768474340747582067,1768474340749520185,1768474340749556573,1768474340751124401,1.9381,0.0364,1.5678,3.5423,0.200000,0.000000
17,nav2,1768474340799151499,1768474340801888948,1768474340801925281,1768474340803057318,2.7374,0.0363,1.1320,3.9058,0.200000,0.000000
18,nav2,1768474340839901243,1768474340844879896,1768474340844914878,1768474340845853698,4.9787,0.0350,0.9388,5.9525,0.200000,0.000000
19,nav2,1768474340891631101,1768474340894139826,1768474340894177493,1768474340895210457,2.5087,0.0377,1.0330,3.5794,0.200000,0.000000
20,nav2,1768474340945014858,1768474340947035346,1768474340947075031,1768474340948397199,2.0205,0.0397,1.3222,3.3823,0.200000,0.000000
21,nav2,1768474340997971889,1768474341000166345,1768474341000201845,1768474341002237566,2.1945,0.0355,2.0357,4.2657,0.200000,0.000000
22,nav2,1768474341041344463,1768474341043190738,1768474341043228293,1768474341044498808,1.8463,0.0376,1.2705,3.1543,0.200000,0.000000
23,nav2,1768474341093154620,1768474341096333293,1768474341096369497,1768474341099918382,3.1787,0.0362,3.5489,6.7638,0.200000,0.000000
24,nav2,1768474341145239753,1768474341147647711,1768474341147680266,1768474341148724836,2.4080,0.0326,1.0446,3.4851,0.200000,0.000000
25,nav2,1768474341198407539,1768474341200535378,1768474341200573971,1768474341204155665,2.1278,0.0386,3.5817,5.7481,0.200000,0.000000
26,nav2,1768474341241692791,1768474341243641937,1768474341243682585,1768474341245286988,1.9491,0.0406,1.6044,3.5942,0.200000,0.000000
27,nav2,1768474341295442884,1768474341297451063,1768474341297486896,1768474341298810997,2.0082,0.0358,1.3241,3.3681,0.200000,0.000000
28,nav2,1768474341348424870,1768474341350421396,1768474341350462174,1768474341351743499,1.9965,0.0408,1.2813,3.3186,0.200000,0.000000
29,nav2,1768474341391259532,1768474341393679732,1768474341393714436,1768474341394905513,2.4202,0.0347,1.1911,3.6460,0.200000,0.000000
30,nav2,1768474341443896758,1768474341445753794,1768474341445793460,1768474341450916726,1.8570,0.0397,5.1233,7.0200,0.200000,0.000000
31,nav2,1768474341497476301,1768474341499703066,1768474341499736251,1768474341501843211,2.2268,0.0332,2.1070,4.3669,0.200000,0.000000
32,nav2,1768474341541579859,1768474341543503528,1768474341543538028,1768474341545090938,1.9237,0.0345,1.5529,3.5111,0.200000,0.000000
33,nav2,1768474341594825475,1768474341597389875,1768474341597425245,1768474341599002009,2.5644,0.0354,1.5768,4.1765,0.200000,0.000000
34,nav2,1768474341648198291,1768474341650254950,1768474341650290802,1768474341651443974,2.0567,0.0359,1.1532,3.2457,0.200000,0.000000
35,nav2,1768474341691216682,1768474341693167251,1768474341693199399,1768474341694691586,1.9506,0.0321,1.4922,3.4749,0.200000,0.000000
36,nav2,1768474341732791628,1768474341735549648,1768474341735582536,1768474341736612557,2.7580,0.0329,1.0300,3.8209,0.200000,0.000000
37,nav2,1768474341795805920,1768474341798410071,1768474341798444497,1768474341799853865,2.6042,0.0344,1.4094,4.0479,0.200000,0.000000
38,nav2,1768474341828312656,1768474341830676120,1768474341830712324,1768474341833316220,2.3635,0.0362,2.6039,5.0036,0.200000,0.000000
39,nav2,1768474341891608354,1768474341893978189,1768474341894012448,1768474341895391406,2.3698,0.0343,1.3790,3.7831,0.200000,0.000000
40,nav2,1768474341934465394,1768474341936679954,1768474341936713398,1768474341938027692,2.2146,0.0334,1.3143,3.5623,0.200000,0.000000
41,nav2,1768474341997518926,1768474341999342508,1768474341999375175,1768474342000531811,1.8236,0.0327,1.1566,3.0129,0.200000,0.000000
42,nav2,1768474342039857214,1768474342042367901,1768474342042412030,1768474342043592499,2.5107,0.0441,1.1805,3.7353,0.200000,0.000000
43,nav2,1768474342091284990,1768474342094306037,1768474342094342000,1768474342095718270,3.0210,0.0360,1.3763,4.4333,0.200000,0.000000
44,nav2,1768474342144777039,1768474342147891923,1768474342147927052,1768474342149205538,3.1149,0.0351,1.2785,4.4285,0.200000,0.000000
45,nav2,1768474342197546131,1768474342199618264,1768474342199652412,1768474342200649125,2.0721,0.0341,0.9967,3.1030,0.200000,0.000000
46,nav2,1768474342247824003,1768474342251281495,1768474342251338161,1768474342252492949,3.4575,0.0567,1.1548,4.6689,0.200000,0.000000
47,nav2,1768474342299289252,1768474342301634288,1768474342301674177,1768474342302655696,2.3450,0.0399,0.9815,3.3664,0.200000,0.000000
48,nav2,1768474342330283686,1768474342332029275,1768474342332070423,1768474342333068812,1.7456,0.0411,0.9984,2.7851,0.200000,0.000000
49,nav2,1768474342391452725,1768474342393229226,1768474342393269930,1768474342394168928,1.7765,0.0407,0.8990,2.7162,0.200000,0.000000
50,nav2,1768474342443241633,1768474342447712496,1768474342447751106,1768474342448731383,4.4709,0.0386,0.9803,5.4897,0.200000,0.000000
51,nav2,1768474342497795482,1768474342499623169,1768474342499655465,1768474342500822386,1.8277,0.0323,1.1669,3.0269,0.200000,0.000000
52,nav2,1768474342548793533,1768474342551605657,1768474342551637805,1768474342552764993,2.8121,0.0321,1.1272,3.9715,0.200000,0.000000
53,nav2,1768474342591923765,1768474342593921887,1768474342593955757,1768474342594906879,1.9981,0.0339,0.9511,2.9831,0.200000,0.000000
