Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
1,nav2,1768472711307631430,1768472711309694477,1768472711309729051,1768472711311105235,2.0630,0.0346,1.3762,3.4738,0.125000,0.000000
2,nav2,1768472711330435660,1768472711332918632,1768472711332955114,1768472711334833425,2.4830,0.0365,1.8783,4.3978,0.200000,0.000000
3,nav2,1768472711387717285,1768472711391431686,1768472711391460556,1768472711392729444,3.7144,0.0289,1.2689,5.0122,0.200000,0.000000
4,nav2,1768472711437465215,1768472711443462464,1768472711443492760,1768472711446482080,5.9972,0.0303,2.9893,9.0169,0.200000,0.000000
5,nav2,1768472711487223100,1768472711489184928,1768472711489217317,1768472711490444232,1.9618,0.0324,1.2269,3.2211,0.200000,0.000000
6,nav2,1768472711537527484,1768472711539423606,1768472711539455198,1768472711540824009,1.8961,0.0316,1.3688,3.2965,0.200000,0.000000
7,nav2,1768472711587145537,1768472711589029250,1768472711589060361,1768472711590365670,1.8837,0.0311,1.3053,3.2201,0.200000,0.000000
8,nav2,1768472711638466054,1768472711646233960,1768472711646543884,1768472711661471258,7.7679,0.3099,14.9274,23.0052,0.200000,0.000000
9,nav2,1768472711706568823,1768472711760152882,1768472711760224548,1768472711775488258,53.5841,0.0717,15.2637,68.9194,0.200000,0.000000
10,nav2,1768472711759636407,1768472711763065345,1768472711763099956,1768472711775970428,3.4289,0.0346,12.8705,16.3340,0.200000,0.000000
11,nav2,1768472711781983141,1768472711783898590,1768472711783930034,1768472711784939504,1.9154,0.0314,1.0095,2.9564,0.200000,0.000000
12,nav2,1768472711836405061,1768472711838192891,1768472711838223261,1768472711839548558,1.7878,0.0304,1.3253,3.1435,0.200000,0.000000
13,nav2,1768472711886695456,1768472711889016565,1768472711889047435,1768472711890055499,2.3211,0.0309,1.0081,3.3600,0.200000,0.000000
14,nav2,1768472711937684442,1768472711940031331,1768472711940061997,1768472711942657160,2.3469,0.0307,2.5952,4.9727,0.200000,0.000000
15,nav2,1768472711985949172,1768472711987736968,1768472711987766412,1768472711989590221,1.7878,0.0294,1.8238,3.6410,0.200000,0.000000
16,nav2,1768472712037755182,1768472712039610525,1768472712039641987,1768472712040936732,1.8553,0.0315,1.2947,3.1816,0.200000,0.000000
17,nav2,1768472712085840234,1768472712087615382,1768472712087647290,1768472712088693821,1.7751,0.0319,1.0465,2.8536,0.200000,0.000000
18,nav2,1768472712138074428,1768472712139999640,1768472712140030269,1768472712141392507,1.9252,0.0306,1.3622,3.3181,0.200000,0.000000
19,nav2,1768472712186236955,1768472712188008960,1768472712188093886,1768472712189172704,1.7720,0.0849,1.0788,2.9357,0.200000,0.000000
20,nav2,1768472712237793803,1768472712239664296,1768472712239693759,1768472712240950509,1.8705,0.0295,1.2568,3.1567,0.200000,0.000000
21,nav2,1768472712286568470,1768472712288250224,1768472712288282502,1768472712290262579,1.6818,0.0323,1.9801,3.6941,0.200000,0.000000
22,nav2,1768472712337196591,1768472712339009991,1768472712339040621,1768472712341770524,1.8134,0.0306,2.7299,4.5739,0.200000,0.000000
23,nav2,1768472712385624508,1768472712387806141,1768472712387890399,1768472712389419986,2.1816,0.0843,1.5296,3.7955,0.200000,0.000000
24,nav2,1768472712447807782,1768472712486980652,1768472712487035077,1768472712503013768,39.1729,0.0544,15.9787,55.2060,0.200000,0.000000
25,nav2,1768472712496769897,1768472712502929889,1768472712502981037,1768472712511169703,6.1600,0.0511,8.1887,14.3998,0.200000,0.000000
26,nav2,1768472712536785287,1768472712538841653,1768472712538893486,1768472712542314710,2.0564,0.0518,3.4212,5.5294,0.200000,0.000000
27,nav2,1768472712585819760,1768472712588283539,1768472712588314743,1768472712589632142,2.4638,0.0312,1.3174,3.8124,0.200000,0.000000
28,nav2,1768472712635237706,1768472712637630907,1768472712637667592,1768472712638708062,2.3932,0.0367,1.0405,3.4704,0.200000,0.000000
29,nav2,1768472712687232341,1768472712689652093,1768472712689681555,1768472712690880955,2.4198,0.0295,1.1994,3.6486,0.200000,0.000000
30,nav2,1768472712737151557,1768472712738994405,1768472712739026961,1768472712740372260,1.8428,0.0326,1.3453,3.2207,0.200000,0.000000
31,nav2,1768472712786901299,1768472712791185201,1768472712791217404,1768472712792647308,4.2839,0.0322,1.4299,5.7460,0.200000,0.000000
32,nav2,1768472712836982750,1768472712839940535,1768472712839972220,1768472712841362932,2.9578,0.0317,1.3907,4.3802,0.200000,0.000000
