Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
1,nav2,1768473493076617305,1768473493079394811,1768473493079431811,1768473493081156257,2.7775,0.0370,1.7244,4.5390,0.125000,0.000000
2,nav2,1768473493137539405,1768473493139404732,1768473493139445935,1768473493140644082,1.8653,0.0412,1.1981,3.1047,0.200000,0.000000
3,nav2,1768473493175968523,1768473493177808669,1768473493177844391,1768473493179068114,1.8401,0.0357,1.2237,3.0996,0.200000,0.000000
4,nav2,1768473493235832010,1768473493237623702,1768473493237660628,1768473493238601494,1.7917,0.0369,0.9409,2.7695,0.200000,0.000000
5,nav2,1768473493286918482,1768473493288647398,1768473493288683009,1768473493289781879,1.7289,0.0356,1.0989,2.8634,0.200000,0.000000
6,nav2,1768473493336184535,1768473493337929345,1768473493337967234,1768473493340928971,1.7448,0.0379,2.9617,4.7444,0.200000,0.000000
7,nav2,1768473493387264168,1768473493389009744,1768473493389048707,1768473493390175808,1.7456,0.0390,1.1271,2.9116,0.200000,0.000000
8,nav2,1768473493438186956,1768473493439983792,1768473493440023200,1768473493441258733,1.7968,0.0394,1.2355,3.0718,0.200000,0.000000
9,nav2,1768473493487723233,1768473493489906902,1768473493489952883,1768473493491481217,2.1837,0.0460,1.5283,3.7580,0.200000,0.000000
10,nav2,1768473493539253066,1768473493541346966,1768473493541381244,1768473493542808237,2.0939,0.0343,1.4270,3.5552,0.200000,0.000000
11,nav2,1768473493590712829,1768473493592733475,1768473493592774271,1768473493593851328,2.0206,0.0408,1.0771,3.1385,0.200000,0.000000
12,nav2,1768473493625893704,1768473493629443182,1768473493629478645,1768473493630739225,3.5495,0.0355,1.2606,4.8455,0.200000,0.000000
13,nav2,1768473493686323604,1768473493688437664,1768473493688475219,1768473493689533987,2.1141,0.0376,1.0588,3.2104,0.200000,0.000000
14,nav2,1768473493736243715,1768473493740101060,1768473493740442724,1768473493742031854,3.8573,0.3417,1.5891,5.7881,0.200000,0.000000
15,nav2,1768473493775766261,1768473493777494874,1768473493777535059,1768473493778544719,1.7286,0.0402,1.0097,2.7785,0.200000,0.000000
16,nav2,1768473493827963137,1768473493829684211,1768473493829723748,1768473493831141638,1.7211,0.0395,1.4179,3.1785,0.200000,0.000000
17,nav2,1768473493885949109,1768473493890808643,1768473493890849254,1768473493891831306,4.8595,0.0406,0.9821,5.8822,0.200000,0.000000
18,nav2,1768473493935820013,1768473493940626642,1768473493940659290,1768473493941895251,4.8066,0.0326,1.2360,6.0752,0.200000,0.000000
19,nav2,1768473493987265530,1768473493989556184,1768473493989600258,1768473493991992586,2.2907,0.0441,2.3923,4.7271,0.200000,0.000000
20,nav2,1768473494036732259,1768473494038696965,1768473494038734928,1768473494040624586,1.9647,0.0380,1.8897,3.8923,0.200000,0.000000
21,nav2,1768473494086232443,1768473494088373706,1768473494088441317,1768473494089790960,2.1413,0.0676,1.3496,3.5585,0.200000,0.000000
22,nav2,1768473494136828283,1768473494140317286,1768473494140357415,1768473494141491948,3.4890,0.0401,1.1345,4.6637,0.200000,0.000000
23,nav2,1768473494177752630,1768473494179894642,1768473494179931920,1768473494182914850,2.1420,0.0373,2.9829,5.1622,0.200000,0.000000
24,nav2,1768473494231932811,1768473494233821599,1768473494233884543,1768473494234988470,1.8888,0.0629,1.1039,3.0557,0.200000,0.000000
25,nav2,1768473494286255110,1768473494288098942,1768473494288133090,1768473494289186347,1.8438,0.0341,1.0533,2.9312,0.200000,0.000000
26,nav2,1768473494326412004,1768473494328179444,1768473494328215333,1768473494329326073,1.7674,0.0359,1.1107,2.9141,0.200000,0.000000
27,nav2,1768473494389172555,1768473494391490437,1768473494391524585,1768473494393078105,2.3179,0.0341,1.5535,3.9055,0.200000,0.000000
28,nav2,1768473494429497841,1768473494431341626,1768473494431377070,1768473494432833329,1.8438,0.0354,1.4563,3.3355,0.200000,0.000000
29,nav2,1768473494487013023,1768473494488811135,1768473494488848431,1768473494489939276,1.7981,0.0373,1.0908,2.9263,0.200000,0.000000
