Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
4,nav2,1768528720446704096,1768528721137189947,1768528721147700621,1768528721176182650,690.4859,10.5107,28.4820,729.4786,0.200000,0.000000
5,nav2,1768528720516405194,1768528721163367022,1768528721163422521,1768528721199099703,646.9618,0.0555,35.6772,682.6945,0.200000,0.000000
6,nav2,1768528720554797175,1768528721172883795,1768528721172953887,1768528721209160240,618.0866,0.0701,36.2064,654.3631,0.200000,0.000000
7,nav2,1768528720617854833,1768528721178057836,1768528721178148798,1768528721210029074,560.2030,0.0910,31.8803,592.1742,0.200000,0.000000
8,nav2,1768528720768243860,1768528721179663455,1768528721179689677,1768528721210366473,411.4196,0.0262,30.6768,442.1226,0.200000,0.000000
9,nav2,1768528720870594680,1768528721181474684,1768528721181496592,1768528721210869973,310.8800,0.0219,29.3734,340.2753,0.200000,0.000000
10,nav2,1768528720944234722,1768528721184086983,1768528721185525585,1768528721211122062,239.8523,1.4386,25.5965,266.8873,0.200000,0.000000
11,nav2,1768528721017556572,1768528721186217154,1768528721186237173,1768528721211261455,168.6606,0.0200,25.0243,193.7049,0.200000,0.000000
12,nav2,1768528721040526418,1768528721186788929,1768528721186819058,1768528721211401712,146.2625,0.0301,24.5827,170.8753,0.200000,0.000000
13,nav2,1768528721103729751,1768528721188685768,1768528721188715972,1768528721211528214,84.9560,0.0302,22.8122,107.7985,0.200000,0.000000
14,nav2,1768528721175473639,1768528721255564233,1768528721256132470,1768528721277244311,80.0906,0.5682,21.1118,101.7707,0.200000,0.000000
15,nav2,1768528721217033695,1768528721266472719,1768528721266511534,1768528721277430964,49.4390,0.0388,10.9194,60.3973,0.200000,0.000000
16,nav2,1768528721244261479,1768528721301578922,1768528721301661014,1768528721307236162,57.3174,0.0821,5.5751,62.9747,0.200000,0.000000
17,nav2,1768528721284159438,1768528721315362927,1768528721315414835,1768528721323590846,31.2035,0.0519,8.1760,39.4314,0.200000,0.000000
18,nav2,1768528721346089200,1768528721379981092,1768528721380030980,1768528721395485229,33.8919,0.0499,15.4542,49.3960,0.200000,0.000000
19,nav2,1768528721407002298,1768528721449786834,1768528721449821222,1768528721452548191,42.7845,0.0344,2.7270,45.5459,0.200000,0.000000
20,nav2,1768528721457008797,1768528721471152198,1768528721471234753,1768528721482004248,14.1434,0.0826,10.7695,24.9955,0.200000,0.000000
21,nav2,1768528721486346421,1768528721572715369,1768528721572774109,1768528721585300498,86.3689,0.0587,12.5264,98.9541,0.200000,0.000000
22,nav2,1768528721546181953,1768528721580298932,1768528721580358764,1768528721604252416,34.1170,0.0598,23.8937,58.0705,0.200000,0.000000
23,nav2,1768528721606051853,1768528721755138692,1768528721755172452,1768528721756475746,149.0868,0.0338,1.3033,150.4239,0.200000,0.000000
24,nav2,1768528721688432966,1768528721809470607,1768528721809528866,1768528721820116809,121.0376,0.0583,10.5879,131.6838,0.200000,0.000000
25,nav2,1768528721760590973,1768528721875182116,1768528721875238430,1768528721883830488,114.5911,0.0563,8.5921,123.2395,0.200000,0.000000
26,nav2,1768528721802685687,1768528721897231439,1768528721897262642,1768528721903014966,94.5458,0.0312,5.7523,100.3293,0.200000,0.000000
27,nav2,1768528721847411758,1768528721929709548,1768528721929751455,1768528721933585485,82.2978,0.0419,3.8340,86.1737,0.200000,0.000000
28,nav2,1768528721889398715,1768528721936850947,1768528721936880354,1768528721976211195,47.4522,0.0294,39.3308,86.8125,0.200000,0.000000
29,nav2,1768528721941963610,1768528721959543821,1768528721959577858,1768528721976766234,17.5802,0.0340,17.1884,34.8026,0.200000,0.000000
30,nav2,1768528721984610498,1768528722026260083,1768528722026333323,1768528722039519282,41.6496,0.0732,13.1860,54.9088,0.200000,0.000000
31,nav2,1768528722048296818,1768528722081662750,1768528722081716139,1768528722098714185,33.3659,0.0534,16.9980,50.4174,0.200000,0.000000
32,nav2,1768528722092264194,1768528722118112260,1768528722118161111,1768528722124629719,25.8481,0.0489,6.4686,32.3655,0.200000,0.000000
33,nav2,1768528722166114352,1768528722195275622,1768528722195325566,1768528722199848970,29.1613,0.0499,4.5234,33.7346,0.200000,0.000000
